gx,gy,gz,time,ang
-184,70,-7,18961475,0.0031068530887693583
-188,65,-3,18962011,0.0031034976204904773
-192,65,0,18962626,0.0030600824445708576
-187,62,-6,18968175,0.0031509369773146745
-183,58,-5,18968732,0.003172330606358634
-186,80,-1,18977938,0.004314806791431445
-187,79,-1,18978516,0.004393477374322363
-180,78,5,18979612,0.004580799157509115
-193,63,-11,18987905,0.0043765899459766045
-190,59,-10,18988460,0.004364049273538601
-188,58,-9,18988995,0.004355013924639136
-190,69,-7,18989555,0.004378647377846871
-193,88,0,18997869,0.005909812546058912
-194,85,-7,18998426,0.006033997392389346
-184,73,-4,19007937,0.007143724045088729
-185,76,-4,19008515,0.007230785580708444
-189,68,-7,19009611,0.007264127952560548
-199,67,-10,19017903,0.007021139419758021
-203,67,-10,19018459,0.007002190507126399
-206,69,-8,19018994,0.006986084338664589
-210,70,-6,19019553,0.006962897569489312
-184,69,-2,19027868,0.007322987925077837
-186,67,-8,19028423,0.007346054407995546
-193,65,1,19037938,0.006687201910283347
-189,71,-2,19038512,0.006715873372684998
-190,78,-2,19039610,0.006870174942671313
-189,71,6,19047901,0.007175442059978744
-187,74,-1,19048458,0.0072376373574499836
-189,75,-1,19048993,0.0072989364193313125
-194,73,-2,19049552,0.007331847389770684
-191,73,1,19057868,0.007983678043062568
-189,65,3,19058424,0.007972002878053257
-194,73,-7,19067939,0.008600856897508464
-191,75,-5,19068521,0.008665696693409724
-180,77,-2,19069607,0.008864722520582421
-187,83,-5,19077900,0.010894885308573606
-189,76,-3,19078457,0.010969270786654009
-191,72,-2,19078992,0.011004955784089264
-189,66,-3,19079551,0.010997040593694005
-180,70,-7,19087866,0.011728907066929242
-181,69,-6,19088420,0.01177093128590722
-200,65,9,19097937,0.011115518301916915
-191,69,0,19098520,0.011133529690501683
-176,71,-9,19099606,0.011243670831228743
-198,66,-13,19107898,0.010768355087162554
-189,69,-11,19108454,0.010783064894924732
-180,75,-7,19108989,0.01086083962486862
-177,84,-4,19109550,0.011024224458757597
-180,71,0,19117864,0.011841187973371093
-177,67,1,19118419,0.01187700510718997
-188,70,-1,19127938,0.012397931662219966
-180,80,-3,19128519,0.012535292390684587
-182,77,-5,19129605,0.012731424067853644
-191,58,4,19137927,0.011764425499574327
-192,64,0,19138476,0.011741221714079856
-190,68,1,19139011,0.011756044466087724
-186,67,1,19139571,0.011776434374716878
-177,50,-1,19147862,0.010787113478164632
-182,54,2,19148419,0.010752800459747488
-184,58,-10,19157917,0.010148535945137746
-189,57,-7,19158473,0.01009206243783579
-185,63,-15,19159558,0.010072916859608648
-195,70,-14,19167925,0.009764756665371
-191,68,-10,19168474,0.00976329224053652
-194,73,-8,19169009,0.009776711552867114
-193,72,-8,19169569,0.00979048325360053
-199,70,-6,19177220,0.009400882043084617
-206,72,-7,19177784,0.009355246304596866
-188,72,-1,19186902,0.010104710446016723
-192,62,-4,19187515,0.01005582067201358
-194,71,0,19188648,0.010078497281993564
-202,81,-2,19196918,0.01092359336661536
-199,78,-6,19197475,0.010978005740283613
-200,69,-10,19198559,0.010936896397647883
-177,73,-6,19206897,0.012289472326824194
-167,69,-2,19207454,0.012396777708851586
-163,71,5,19207989,0.012535453930828602
-194,70,3,19213725,0.012646470835743516
-191,67,-10,19222895,0.012509548342587742
-195,65,-12,19223453,0.01247149128896205
-197,62,-6,19223988,0.01240788180315442
-194,64,-9,19224539,0.01236799183635823
-172,79,-17,19229192,0.013727813271260462
-174,77,-13,19229728,0.01386715115971587
-188,54,-7,19238908,0.012527154539739132
-188,57,-6,19239488,0.012468339626880208
-190,62,-6,19240078,0.012433981622945723
-188,62,-9,19240627,0.012414263759996758
-193,73,2,19246189,0.01264458428711095
-191,73,3,19246748,0.012679356524829632
