gx,gy,gz,time,ang
-133,103,35,510635844,0.018518582881092416
-132,101,34,510636379,0.01911604382107696
-130,105,32,510636914,0.019726233983749227
-129,111,36,510637449,0.020369179875863792
-154,96,34,510643443,0.02544251756884762
-158,97,37,510643980,0.025893616428866225
-200,35,22,510652822,0.026369318140609766
-191,36,23,510653388,0.02650654642197159
-193,33,23,510653998,0.026644212088459185
-201,26,19,510654533,0.02669790000295679
-219,28,19,510660441,0.026567092613917265
-220,28,19,510660998,0.026595048318171062
-285,4,46,510670160,0.03008728665741945
-296,5,51,510670715,0.030631169679124316
-302,-1,49,510671810,0.03180691519324208
-336,-17,46,510680167,0.04628435836837817
-334,-15,43,510680725,0.04743548765295319
-326,-13,41,510681260,0.048507382477446986
-358,24,31,510687985,0.06210692278408405
-360,40,27,510695622,0.07886586562514179
-361,36,27,510696157,0.08012191455865525
-366,35,26,510696716,0.08147109281548258
-366,33,24,510697251,0.08276688513088289
-355,21,4,510703441,0.09687396145689924
-347,19,-3,510703977,0.0980538113027762
-376,18,-11,510712773,0.12085657545792422
-371,20,-12,510713321,0.12227148546573095
-368,15,-11,510713906,0.1237828398721648
-367,8,-11,510714441,0.12518266746954973
-340,5,-7,510720436,0.13909730685813682
-339,3,-10,510720997,0.14040011016185183
-313,-16,-15,510730158,0.15954307421700903
-313,-22,-17,510730713,0.1607322746072485
-305,-29,-25,510731807,0.16297841639050695
-265,-16,-14,510740142,0.17548519835724347
-267,-5,-8,510741785,0.17793511544284674
-232,-43,-10,510750175,0.18900384569580533
-227,-48,-15,510750723,0.1897233858026671
-226,-44,-14,510751326,0.1904938721924493
-227,-44,-17,510751884,0.19121148011513858
-220,-57,-17,510756418,0.1972150926960886
-220,-53,-17,510756973,0.19794667219687448
-235,-28,-13,510766202,0.21026028697785706
-233,-23,-12,510766808,0.21104067533991805
-238,-5,-12,510767924,0.21237272489540018
-290,28,-10,510776175,0.22517083247499425
-297,24,-12,510776725,0.22609079696746304
-305,20,-12,510777818,0.22806617338592633
-343,21,-5,510784786,0.24407451931867102
-346,30,-3,510785321,0.2452915448317633
-347,35,1,510785879,0.24655071694934413
-352,38,8,510786414,0.2477878138682419
-371,73,11,510794167,0.2656839881077951
-384,39,1,510800853,0.28418026154816495
-382,30,-1,510801388,0.28568758855294746
-375,29,-1,510801950,0.28722384467575424
-369,27,-5,510802485,0.28864792760311214
-343,15,-11,510808451,0.3029389309692275
-335,18,-7,510808987,0.3041599826583084
-281,28,-25,510816820,0.31555534986157974
-285,20,-23,510817355,0.31639635489701723
-281,11,-19,510817893,0.31725139183011813
-280,9,-10,510818456,0.31815514470133865
-228,40,-8,510824441,0.3222918800106677
-226,45,-7,510824977,0.3226298664540573
-174,62,-4,510834176,0.32095430776310735
-162,51,-4,510834796,0.32079163165577346
-149,46,-12,510835877,0.3203462410762751
-143,4,-32,510844168,0.3187007832724509
-137,8,-26,510844724,0.31854678778653406
-137,11,-17,510845259,0.3183945346406309
-144,8,-13,510845811,0.3183052584246787
-164,43,-16,510854164,0.31687884873071115
-206,44,4,510860850,0.3195391875640463
-207,41,7,510861385,0.31977429755981035
-213,37,6,510861947,0.32008211485162996
-226,27,8,510862482,0.3205094072473341
-262,32,20,510868448,0.3279176710910761
-269,28,27,510868985,0.3286562339818501
-271,-17,10,510877781,0.34393603071351975
-277,-16,11,510878346,0.3449588102705498
-281,-17,10,510878937,0.3460630474332338
-272,-21,7,510879472,0.3470159819728322
-265,6,8,510886000,0.3566358147744144
-230,38,17,510893411,0.36240482156801473
-237,36,17,510894001,0.36292697054890144
-178,69,22,510903137,0.36174612420793767
-179,74,18,510903692,0.36165609582559394
-180,84,21,510904787,0.361408779463728
-178,124,27,510913145,0.3567250307732071
-180,126,24,510913703,0.3564192940806993
-183,124,21,510914238,0.35615270610677924
-181,122,16,510914789,0.35586773905539326
-182,119,12,510920984,0.35286929620009727
-185,76,11,510930166,0.351893843121255
-184,66,11,510930724,0.3518712926038517
-186,62,8,510931329,0.35187741087158614
-191,64,3,510931885,0.3519042572495072
-275,76,13,510937446,0.3578490170564856
