gx,gy,gz,time,ang
-189,77,-83,270254625,0.013086617948716905
-203,75,-84,270255160,0.013753270896849006
-215,78,-81,270255708,0.014407970800780594
-240,93,-80,270261271,0.021495256725288174
-241,94,-82,270261902,0.02236041156836118
-270,87,-78,270270990,0.035731109763159616
-273,87,-82,270271545,0.03663068885494683
-272,78,-85,270272639,0.0384164714212166
-220,64,-109,270280975,0.05192358160990739
-218,61,-108,270281532,0.05281658106192752
-221,58,-108,270282067,0.05367978858226929
-225,57,-114,270282618,0.05462676871107224
-186,75,-110,270288816,0.06408070970492775
-163,81,-115,270296606,0.07641050856376945
-164,87,-112,270297141,0.07726532093065079
-173,89,-109,270297699,0.0781504276936072
-172,86,-103,270298234,0.07894773686227666
-159,73,-88,270304269,0.08634484330113741
-164,75,-89,270304805,0.08702824413999287
-125,54,-78,270312640,0.09533249663732365
-127,56,-78,270313175,0.09593480666391636
-124,58,-79,270313713,0.0965542287893521
-118,59,-78,270314315,0.09724414555061706
-109,49,-65,270320290,0.1031581877289451
-114,56,-61,270320827,0.10368897641199455
-133,82,-78,270329966,0.11550803933396078
-136,85,-74,270330535,0.11622464136122038
-144,75,-65,270331629,0.1174183394207394
-173,80,-52,270339987,0.12441026166234455
-182,80,-49,270340545,0.12483967009403805
-187,81,-49,270341080,0.12524513507381244
-186,82,-45,270341639,0.12563816168662748
-198,81,-47,270348809,0.1306545976193631
-229,64,-46,270356601,0.13518250661986853
-233,64,-50,270357136,0.13552720026230022
-231,60,-51,270357697,0.135895837577223
-229,56,-54,270358232,0.13627024802422852
-243,36,-45,270364266,0.13939338142861926
-233,40,-49,270364802,0.13972508412737344
-245,1,-57,270374016,0.14632087861172985
-242,5,-54,270374626,0.14676630510487543
-231,7,-53,270375161,0.14715547105556598
-222,5,-54,270375724,0.14757803321887614
-215,-10,-56,270380258,0.1512102707727249
-217,3,-58,270380813,0.15168356983289458
-205,-8,-53,270390030,0.1592322690273863
-200,-3,-54,270390596,0.15972193309124186
-191,4,-52,270391692,0.1606347627459582
-168,15,-38,270399986,0.16586529006858686
-169,12,-34,270400542,0.16619440190684145
-163,7,-31,270401077,0.16649471548036973
-112,46,-26,270407799,0.16971074841320868
-85,88,-10,270416961,0.17248312728724316
-71,86,-12,270417517,0.17273720401955867
-60,89,-11,270418051,0.17299364011256013
-58,96,-5,270418611,0.17321725806465715
-48,111,2,270423812,0.17525070964913006
13,125,9,270432620,0.18277669392408236
17,123,8,270433155,0.18339615319275548
25,119,6,270433704,0.18409227960316002
30,116,6,270434318,0.1849118290913015
47,91,15,270440286,0.19408032183101723
48,94,12,270440822,0.1950327283965194
54,79,11,270450013,0.2143038352121224
52,68,11,270450573,0.21559635232012142
42,79,13,270451667,0.21802385721005305
26,78,17,270459982,0.23601871300035968
21,88,17,270460538,0.23726380229477492
13,91,16,270461073,0.23842691441814023
6,90,21,270461634,0.2395805212725738
-58,74,29,270468804,0.2488735851548685
-109,38,19,270477986,0.25663067656753347
-118,41,19,270478544,0.2570545032842888
-126,41,23,270479104,0.25740584097489194
-128,36,33,270479713,0.2577190118295238
-158,32,25,270485268,0.25898167337396655
-159,29,22,270485804,0.25911570385905336
-208,55,29,270494990,0.2552384168897724
-212,59,33,270495543,0.25495850751821125
-220,58,40,270496637,0.2542289020394752
-263,80,50,270504997,0.2433885687594313
-269,78,43,270505551,0.2426629562971472
-275,64,37,270506086,0.24195076202287882
-279,55,36,270506638,0.2411936703434043
-295,42,33,270513817,0.2301401458202366
-269,38,29,270522595,0.21986556250905714
-268,39,33,270523130,0.2192292466748205
-263,34,37,270523680,0.2185909577281872
-258,29,38,270524299,0.21790735635707975
-239,36,31,270530280,0.2130736917904713
-232,37,23,270530816,0.2127266107805606
-218,24,37,270540013,0.20739362892688976
-217,29,35,270540578,0.2070860961795055
-221,38,34,270541663,0.2064403139690072
-211,67,37,270549977,0.20201760878331926
-211,62,38,270550535,0.20172113198618935
-217,54,35,270551070,0.20141619220379794
-220,47,33,270551629,0.20109146402057088
-207,47,34,270559273,0.19786561065392425
-203,39,41,270559810,0.1976435233133024
-199,27,21,270567666,0.1963222835035902
-198,21,25,270568201,0.1962323034110207
-193,25,25,270568764,0.19617003001602715
-180,34,25,270569369,0.19619365634157337
-150,41,24,270575262,0.19870063998991944
-151,32,29,270575798,0.19891579370024118
-158,69,37,270584991,0.20063544452473567
-162,66,32,270585560,0.20074529701184565
-153,58,26,270586654,0.20115483338553658
-129,77,36,270594991,0.20619082398112792
-133,80,35,270595548,0.2065103872173309
-136,80,38,270596083,0.2067861140884019
-125,77,36,270596642,0.2071698749875638
-100,64,37,270603812,0.21483092520389163
-79,45,39,270611605,0.22599300620555604
-82,48,39,270612140,0.22674949732966995
-83,50,41,270612700,0.22752730488870576
-80,52,42,270613234,0.22828884836754323
-68,46,41,270618798,0.23738227867894135
-48,30,39,270627978,0.2558565816807537
-47,29,35,270628536,0.2570161698805405
-45,22,33,270629084,0.25818486652778605
-45,18,31,270629715,0.25954294731390104
-56,24,37,270634254,0.2684815712323531
-63,17,40,270634809,0.26952696950069666
-40,15,21,270644017,0.2908428209771607
-38,19,16,270644627,0.29228740585350643
-31,24,12,270645162,0.2936110817796499
-19,35,11,270645709,0.2950494170145948
-22,31,28,270651252,0.30917863174094024
-20,40,25,270651836,0.3106830983820679
9,28,11,270661000,0.3389526793330226
6,24,9,270661548,0.340631670157185
14,29,8,270662643,0.344107697784678
21,30,17,270670955,0.37121836737832165
30,28,13,270671513,0.3731254900396642
45,27,11,270672048,0.3750777705357183
46,30,10,270672607,0.37712365563670536
27,47,2,270678815,0.3979665457798384
-7,78,17,270687592,0.42216915160620216
-9,73,22,270688127,0.42363392615915013
-17,69,26,270688688,0.42510364841401876
-22,71,28,270689303,0.4266644786365382
-52,87,26,270695287,0.43901867693567076
-53,88,33,270695823,0.44011318870363686
-78,62,29,270704968,0.45592701549163195
-76,55,31,270705532,0.45692794795754643
-68,47,44,270706626,0.4589981002010233
-95,80,37,270714987,0.47103979482749486
-94,74,34,270715541,0.47185776679957736
-86,74,26,270716076,0.47271803651405114
-84,74,23,270716635,0.4736361464640251
-112,66,9,270723806,0.48261141923551854
-115,38,16,270732990,0.49408143267801286
-115,41,17,270733547,0.49477455866607073
-110,43,16,270734106,0.4955111351101549
-104,47,12,270734716,0.4963685403513874
-103,58,4,270740270,0.5041972679619414
-97,51,2,270740807,0.5050108958411751
-92,20,7,270749992,0.520108816522877
-88,21,11,270750544,0.5210478503996686
-72,24,9,270751640,0.5231735328612027
-86,22,20,270760001,0.5375928712079535
-83,19,15,270760555,0.5385807386569599
-79,13,17,270761090,0.5395729384867392
-73,6,18,270761640,0.5406505296408849
-111,31,27,270768819,0.5501921330045351
-125,43,32,270777621,0.5598193413945618
-129,42,33,270778156,0.5603745779148946
-129,39,37,270778706,0.560947934441563
-128,33,40,270779319,0.5616035106381991
-147,32,50,270785283,0.5662785326380331
-152,32,51,270785819,0.5666605020946707
-137,52,61,270795016,0.5749236914632077
-133,56,57,270795571,0.5754556893978358
-140,52,51,270796667,0.5764023712794153
-123,44,45,270804982,0.5859122442914103
-130,46,36,270805537,0.5864878401072814
-139,48,37,270806072,0.586967767135619
-144,50,44,270806631,0.5874249127791324
-119,44,42,270813802,0.5961143590171802
-115,53,45,270822986,0.6076711317381558
-122,53,42,270823543,0.608314766331752
-125,51,38,270824107,0.6089429449842847
-129,56,39,270824717,0.609578956898839
-115,46,45,270830267,0.6166909965052376
-108,45,47,270830803,0.6174374442028145
-129,33,49,270839967,0.6276050586717888
-133,30,56,270840541,0.6282169079360563
-146,23,55,270841635,0.6291876163712433
-180,1,65,270849994,0.6329288431329646
-186,1,72,270850550,0.6331382093754714
-190,-1,70,270851085,0.6333102932227276
-192,0,65,270851636,0.6334679829787826
-223,4,65,270858817,0.632194022557446
