gx,gy,gz,time,ang
-255,24,-115,830282374,0.021400155755765694
-243,38,-98,830288548,0.03186842627462075
-218,40,-96,830297729,0.04562320398733216
-212,37,-93,830298287,0.04642894250752926
-207,38,-97,830298899,0.04732397777052914
-211,37,-107,830299467,0.048246903875871903
-229,17,-143,830305008,0.06104626598795305
-233,17,-147,830305545,0.06232976222651588
-286,-23,-263,830314754,0.10313017165112041
-288,-31,-269,830315306,0.10564798099703833
-278,-41,-286,830316401,0.11088871400449081
-321,-71,-418,830324736,0.1687654028062746
-327,-81,-424,830325286,0.17267396836903165
-329,-86,-421,830325821,0.17647222064008697
-341,-98,-446,830331544,0.2197248373060355
-325,-140,-535,830346696,0.35477477829007137
-327,-133,-538,830347245,0.3596816785587306
-332,-129,-536,830347780,0.3644497228973555
-366,-142,-547,830356677,0.44698832305939384
-368,-150,-544,830357232,0.45214188367536207
-345,-109,-515,830366750,0.5337963975982349
-346,-112,-516,830367361,0.5390586808530904
-319,-118,-512,830368523,0.5489022510983386
-259,-48,-447,830376741,0.6062195145099454
-260,-38,-443,830377288,0.6099845356768473
-256,-22,-435,830378381,0.6172844247284532
-177,37,-420,830397714,0.7321495331583064
-173,44,-427,830398270,0.7355237881227973
-172,54,-431,830398805,0.7387783761305096
-175,58,-437,830399356,0.7421758123323083
-200,14,-561,830407692,0.8108472418990976
-202,17,-567,830408249,0.8154960765301333
-202,18,-576,830408784,0.8200302785678568
-229,-28,-645,830415550,0.8860024308395406
-271,-73,-736,830423199,0.9730613548864016
-277,-76,-743,830423734,0.9792230589095858
-277,-78,-748,830424292,0.9856947723149173
-270,-72,-755,830424827,0.9919321205716513
-283,-101,-762,830431016,1.0656297620629547
-287,-90,-753,830431553,1.0719387388726227
-273,-77,-748,830440349,1.173919480467456
-270,-73,-741,830440912,1.1803789892945118
-271,-71,-728,830441524,1.187281953775521
-278,-66,-723,830442059,1.1932774654455172
-254,-38,-701,830448014,1.2571498141130228
-250,-37,-697,830448566,1.263033032621637
-208,70,-610,830457731,1.3447863279852694
-196,84,-598,830458290,1.3496441876272123
-190,110,-586,830459374,1.3587689082999534
-117,169,-444,830467424,1.4070814113066596
-118,178,-436,830467959,1.410236182878724
-121,191,-426,830468521,1.4134513355108649
-122,202,-420,830469056,1.4164507610897807
-82,242,-355,830475529,1.4454642610554345
