gx,gy,gz,time,ang
-185,61,-10,92776342,0.00265954040185713
-185,83,-10,92783045,0.0021437248094255345
-175,78,-13,92783580,0.002221146249624454
-168,73,-10,92784143,0.0023679217759099073
-197,74,-4,92790171,0.0013992659837634676
-176,66,-1,92797811,0.002648143265161167
-182,63,-3,92798346,0.0027150275801978894
-189,64,-5,92798902,0.0027323056436665545
-189,59,-8,92799437,0.0027761169235810076
-189,83,-4,92805628,0.002023884429872876
-191,80,-1,92806164,0.001963260621458169
-170,78,-4,92813998,0.0037565027537089075
-173,79,-5,92814533,0.0038620529925577117
-180,74,-7,92815071,0.003909454790834099
-184,69,-9,92815630,0.003923120655312808
-187,75,-9,92821649,0.0038382655062428397
-181,74,-11,92822186,0.003882864549611736
-190,76,2,92831350,0.0034187007286221468
-198,84,7,92831972,0.0033601589234599043
-199,83,1,92833053,0.003237510567298706
-178,83,3,92841345,0.004965350227369825
-181,83,-3,92841902,0.00504851135093027
-185,82,-7,92842437,0.005087757722621554
-187,65,-3,92851352,0.004609332173122994
-180,72,4,92868609,0.007057160338763528
-186,71,7,92869171,0.00711693830803223
-189,73,5,92869706,0.0071496773031675415
-187,83,-1,92870268,0.007183295695996515
-189,76,0,92876691,0.007367008525434391
-194,84,-3,92877310,0.007357672283898245
-189,81,-7,92886338,0.007311592092458867
-195,82,-7,92886894,0.00728964138813871
-201,82,-2,92887428,0.007268431540372553
-200,77,0,92887979,0.007245416333940212
-179,71,-6,92895802,0.007575651675578757
-185,59,-1,92897430,0.007510650989216061
-184,59,-2,92905339,0.007419336216141713
-186,58,-2,92905959,0.007413270505336237
-186,63,2,92906518,0.007440499342006277
-184,69,1,92907078,0.007482157764320741
-175,64,-1,92912622,0.008291819413402369
-174,64,2,92913174,0.008400893898632597
-186,75,-13,92923948,0.007561629253845762
-177,81,-7,92932338,0.008533968271336661
-181,79,-7,92932882,0.008571432449186147
-188,73,-4,92933417,0.00856046985293216
-184,81,-14,92939161,0.0085536157186189
-184,69,0,92948319,0.008918249137068686
-184,78,-1,92948875,0.00895764223050327
-185,77,5,92949410,0.00900868162658785
-184,62,-6,92955168,0.008914410708550188
-176,71,6,92964339,0.010806564309049815
-182,73,2,92964887,0.0108633942729227
-186,78,0,92965454,0.01088870789767497
-188,78,-5,92966064,0.010876502458051976
-190,75,-3,92970606,0.010720767925799627
-189,73,-7,92971161,0.01068907216193351
-179,65,-12,92979005,0.010890431693131992
-187,73,-15,92979540,0.010845182400262025
-192,80,-15,92980076,0.010766769899077466
-203,78,-6,92980632,0.01063438108846492
-187,68,-1,92985619,0.010668755077470607
-183,67,-4,92986174,0.010691617127818685
-189,71,-5,92994020,0.010341020881869178
-194,71,-9,92994555,0.010265796763767904
-197,73,-10,92995118,0.010160116032449385
-202,70,-11,92995675,0.010013902328669689
-187,75,-7,93001641,0.009829339481960927
-189,75,-1,93002177,0.009821945616247137
-190,57,-2,93011373,0.009674435554993338
-195,67,-5,93011999,0.009610459354298617
-192,71,-13,93013069,0.009461013066222355
-189,71,-5,93021337,0.009155794544115615
-188,65,-3,93021893,0.009163292068619445
-191,64,0,93022428,0.009166424803617524
-190,64,0,93022988,0.009177491833872571
-195,65,-15,93031344,0.007883644329545393
-198,63,-2,93038017,0.0075922524180631066
-198,65,0,93038552,0.007582662486920562
-192,65,-2,93039087,0.007596915710410821
-184,72,-4,93045173,0.007765913448827201
-188,84,-6,93054336,0.006686703963055225
-186,80,-4,93054890,0.006664349925954476
-178,78,-2,93055458,0.006707556360180147
-177,76,0,93056063,0.00677905286023129
-182,72,3,93060628,0.007312670713192167
-182,78,-1,93061164,0.007338264305026501
-165,62,6,93069001,0.01033906631586945
-176,62,5,93069536,0.010475023432651283
-182,66,1,93070074,0.010544906982489083
-188,74,-2,93070632,0.010540350857565528
-189,81,-1,93076620,0.010279077304482957
-190,81,2,93077157,0.01026907272518542
-192,76,0,93086353,0.010002778229784594
-196,71,2,93086974,0.009991502694857492
-202,71,-2,93088057,0.009864724904307754
-194,73,-6,93096349,0.009126930050426548
-193,76,-5,93096905,0.009084134908168414
-190,80,-4,93097440,0.00905439796839624
-195,80,-1,93097999,0.009021230432479566
-193,70,-8,93105792,0.008363218186254795
-188,72,-11,93107419,0.008215397950566335
-183,73,-5,93115360,0.008348089045560602
-181,65,-2,93115984,0.008415171254555145
-181,60,1,93116541,0.008509233464371206
-181,58,2,93117076,0.008612144398464264
-193,76,-4,93122612,0.008279101115063386
-191,71,-4,93123197,0.008268231223219954
-192,83,-8,93132360,0.007167851550850286
-195,87,-2,93132907,0.007141898152544294
-193,78,-1,93134001,0.0071430583198691736
-182,79,-3,93142043,0.007488830947714896
-185,80,-10,93142578,0.0074534781621956965
-188,75,-14,93143140,0.007374607152835696
-189,69,-12,93143675,0.007310670054625194
-193,80,-5,93150061,0.007069678852408487
-194,70,-4,93150596,0.007051805233608945
-188,62,-5,93151150,0.007036013421825142
-184,63,5,93157172,0.007921799589390684
-186,69,-8,93165793,0.007549585278023303
-183,68,-7,93166328,0.007543937948923079
-183,73,-13,93167425,0.007430912894026519
-185,89,-5,93183610,0.008183441199797381
-187,86,-8,93184170,0.008206705892596497
-184,74,-5,93184705,0.008216290497937343
-182,70,-6,93185268,0.00821013651602723
-185,70,-15,93190653,0.007459135735685415
-194,69,-11,93191262,0.0073701685501660055
-182,64,-1,93200329,0.007608219696960599
-184,69,-6,93200886,0.0075984841506739256
-190,75,-6,93201972,0.0075646671231777325
-187,75,-5,93210338,0.007588219133787536
-186,77,-4,93210887,0.007606430556853061
-189,75,0,93211422,0.007637095893547244
-189,72,1,93211981,0.007668225313803013
-194,65,-1,93218166,0.007528328340048131
-192,59,-5,93227360,0.0070698062908234076
-198,60,-3,93227908,0.007068094960016488
-191,66,-3,93228504,0.007078277237611602
-180,80,-1,93229069,0.007118127530301747
-174,83,-2,93234610,0.007625549665822466
-185,91,-6,93235164,0.007635594572971051
-187,67,-1,93244362,0.008058906165222427
-184,67,-2,93244905,0.008085053954661596
-181,76,-7,93246000,0.008072888847066856
-177,56,-12,93254071,0.007846335327768825
-171,57,-10,93254606,0.007891172236596971
-177,80,-5,93255687,0.007922044531230995
-183,67,-15,93263000,0.0073089578744606355
