gx,gy,gz,time,ang
-99,178,-12,3203707733,0.02079973929489683
-105,187,-15,3203713473,0.033746934124054
-99,178,-18,3203722632,0.053994871918296494
-106,177,-18,3203723190,0.0551847757331348
-117,178,-17,3203723753,0.05633234115268156
-121,179,-11,3203724364,0.0575586055807204
-130,168,-11,3203728927,0.06573882368774703
-131,170,-13,3203729484,0.06674772750065958
-139,122,-6,3203738400,0.07702042957342893
-139,124,-3,3203738954,0.07767113982508683
-134,130,-7,3203739585,0.0784894349877354
-127,135,-13,3203740142,0.0792846127332145
-148,130,-15,3203744949,0.08491282422008199
-143,132,-13,3203745485,0.08557779377808111
-165,99,4,3203754718,0.09134739817623168
-163,95,1,3203755289,0.09168948781463823
-162,92,-6,3203756377,0.09231696870137372
-185,76,-13,3203764646,0.09374209963278278
-186,70,-9,3203765203,0.09379149188091021
-187,67,-5,3203765738,0.093813109100067
-201,42,-2,3203771552,0.09152851514097826
-223,26,-3,3203786134,0.07998103140591731
-230,25,-4,3203786669,0.07951568359532155
-232,23,-6,3203787228,0.0790062988031897
-228,19,-8,3203787763,0.07851443425762866
-232,19,-12,3203801127,0.06578815208330249
-233,20,-11,3203801662,0.06528095758246079
-231,26,-5,3203802221,0.06479779239043286
-224,28,1,3203802756,0.06437958809680688
-236,13,6,3203816625,0.04941933947302562
-235,6,10,3203817182,0.048775799752987056
-234,0,13,3203817717,0.04812287097015071
-233,1,12,3203818277,0.04745217897325211
-235,1,2,3203826186,0.03789822090282083
-236,5,2,3203826721,0.03727305757382306
-234,10,4,3203827279,0.03666441470570994
-229,14,6,3203827814,0.03613149572683087
-221,25,-2,3203833938,0.03132536388885184
-226,26,-2,3203834475,0.030884528861467548
-215,24,-1,3203842309,0.025118614875114426
-220,31,7,3203842844,0.0247422596781755
-231,27,8,3203843382,0.02427977681707871
-236,20,8,3203843930,0.023737647679186628
-231,5,4,3203849928,0.017126830617366848
-232,3,4,3203850485,0.01650233346061352
-226,30,2,3203859702,0.009559459782934765
-224,36,4,3203860269,0.009197495971815059
-221,32,-4,3203861365,0.008461754529475255
-259,10,9,3203869656,0.005073293413465617
-256,10,10,3203870214,0.0056415217738874845
-250,11,7,3203870749,0.00617206426751285
-226,34,0,3203876525,0.009880061789709549
-188,72,-4,3203885626,0.009310157614894423
-190,79,-5,3203886182,0.009254883959616144
-193,85,-8,3203886717,0.009183170132406096
-165,99,-12,3203893483,0.005725266278903828
-179,81,-14,3203901153,0.004015246536768981
-176,80,-13,3203901688,0.00391403288674214
-176,80,-12,3203902240,0.003821933343075212
-179,75,-13,3203902775,0.003734732667452875
-182,68,-10,3203908950,0.0030111554383619077
-185,71,-9,3203909486,0.002979779130394536
-184,100,-10,3203918700,0.006081162325954131
-182,98,-13,3203919304,0.00633444628433126
-177,95,-8,3203919839,0.006550157201718379
-177,85,-4,3203920377,0.006699549345186326
-179,89,-9,3203924942,0.008213826618643385
-176,95,-10,3203925478,0.008448101405257825
-161,111,-11,3203935569,0.016125080182048435
-137,139,-3,3203943642,0.026990451817141325
-142,140,-7,3203944197,0.027731733495492326
-144,142,-11,3203944732,0.028452507219518603
-139,132,-14,3203952389,0.03806080048215585
-143,134,-14,3203952924,0.0387333716275642
-145,132,-16,3203954014,0.040059024166774815
-129,154,-16,3203961644,0.05251836504575703
-128,148,-18,3203962202,0.053392454623538206
-126,145,-19,3203962737,0.05421888444977868
-136,144,-11,3203968476,0.06252709413659731
-157,107,-12,3203977635,0.06986719669276835
-157,113,-11,3203978193,0.0703572702020844
-155,120,-13,3203978755,0.07091127850413805
-157,123,-16,3203979365,0.07152715799177566
-148,120,-14,3203984938,0.07735458538323868
-145,122,-15,3203985474,0.07794302692833245
-151,112,-12,3203994716,0.08643412682191844
-153,104,-8,3203995278,0.08688270129337688
-162,98,-11,3203996374,0.08759301911318236
-163,109,-5,3204004666,0.09399538873639587
-158,106,-4,3204005223,0.09442807796608374
-160,99,-7,3204005757,0.09478813009161195
-159,99,-5,3204011537,0.0987283354157582
-168,91,-5,3204026105,0.10607152250043192
-164,92,-6,3204026640,0.10636743391099594
-163,91,-6,3204027195,0.10667248321529643
-174,89,-8,3204027730,0.10690188074116098
-179,71,-8,3204041630,0.10915405459399909
-180,74,-11,3204042188,0.10926179657950659
-185,82,-9,3204042723,0.10939255450407707
-185,85,-7,3204043281,0.10954857996374971
-171,85,-5,3204051640,0.11293208647318832
-173,88,-3,3204052197,0.11316708502892295
-166,86,1,3204052732,0.11341219993171649
-163,87,-1,3204053284,0.11368789695750472
-202,88,0,3204058943,0.11458109301945267
-201,83,-5,3204059479,0.11464087518608009
-169,93,-12,3204067314,0.11876123271696568
-169,102,-9,3204067849,0.11910091778804374
-171,106,-4,3204068387,0.11945737618609835
-173,106,-2,3204068956,0.11982336848902166
-155,120,-9,3204074932,0.1256945808299314
-155,122,-9,3204075468,0.12623446419659148
-160,104,-3,3204084717,0.13303741479659995
-152,107,-5,3204085274,0.1335085684103942
-154,104,-1,3204086370,0.13437251132196606
-184,89,-12,3204094663,0.1372125365076173
-176,89,-18,3204095218,0.13744495687794192
-163,89,-20,3204095753,0.13773168232965174
-137,140,-13,3204101531,0.1457832352002561
-213,53,-4,3204116127,0.14044417238750675
-199,66,-5,3204116662,0.14040181273042304
-188,76,-8,3204117220,0.14048224753966027
-174,88,-10,3204117755,0.14070574951480794
-59,246,-16,3204131625,0.18788413287333214
-55,252,-15,3204132184,0.18984669424625292
-45,265,-21,3204132718,0.19185745837498466
-26,273,-27,3204133277,0.1941141121881602
154,520,-34,3204141207,0.2631307798472862
168,535,-33,3204141741,0.26794421061003737
178,549,-38,3204142302,0.2731504755095135
182,563,-42,3204142837,0.27822890217611085
213,588,-36,3204148938,0.33969303818475893
206,584,-31,3204149474,0.3450311845430124
-659,-550,46,3204157309,0.25225166728958703
-601,-474,39,3204157844,0.24669968559438957
-553,-411,32,3204158382,0.24176892167366654
-503,-347,28,3204158933,0.23740260536300087
-21,318,-24,3204164928,0.26520625695200434
2,349,-24,3204165465,0.26801298933003054
-145,117,-9,3204174705,0.27756970610989296
-156,109,-3,3204175271,0.2780413027720377
-180,88,8,3204176365,0.27842606747853604
-30,263,-15,3204184657,0.3105276923510463
-23,274,-18,3204185213,0.31279206679332394
-19,288,-20,3204185748,0.3150831460260184
4,323,-15,3204191530,0.343513686248904
-90,190,29,3204206637,0.3799595826958423
-82,190,43,3204207194,0.3813460915228124
-80,192,63,3204207729,0.3826986008513757
-78,199,94,3204208280,0.384146222370588
130,279,1246,3204216198,0.4523910076432451
161,340,1158,3204216733,0.4588782613760118
182,378,1068,3204217284,0.46576548300816184
-118,-74,1349,3204223481,0.5201294120638386
-172,-197,1485,3204232637,0.6440300969704608
-92,-36,1271,3204233195,0.652506326669874
14,174,1016,3204233757,0.6605668117084615
90,310,831,3204234369,0.6688608692050256
-81,133,408,3204239940,0.7032583866448736
-94,106,419,3204240477,0.7065210308943226
187,499,281,3204249721,0.7882338669682425
204,531,259,3204250301,0.7934717946780654
