gx,gy,gz,time,ang
-191,67,1,53930466,0.0013246847711573869
-193,68,4,53939633,0.0015249238643646869
-192,70,1,53940184,0.0015663719523754283
-190,70,-4,53941279,0.0016057519076801655
-203,64,-1,53949637,0.002211701578187669
-202,65,0,53950193,0.002293260171150524
-199,69,-6,53950728,0.0023417067246249822
-201,71,3,53957455,0.0036915845577908503
-183,71,-16,53966614,0.002568789675822716
-183,75,-12,53967170,0.0025652407447165197
-180,74,-9,53967705,0.0025465885399888395
-183,72,-7,53968265,0.0025353610218720344
-198,63,-18,53973917,0.0029104556297480186
-193,63,-13,53974453,0.0029321724475786562
-192,76,5,53981064,0.0034197666537752274
-180,68,3,53981599,0.0033626033034217934
-186,61,-10,53982689,0.0032385555505940735
-193,71,-1,53990610,0.0037685274741578777
-191,72,2,53991183,0.003804913114469925
-187,70,2,53991735,0.00380599076755511
-200,76,-9,53996903,0.004803633427598864
-202,75,-8,53997452,0.004916762863795778
-191,72,-5,53998574,0.004981697163449095
-195,64,-11,54006633,0.005185870324244717
-194,64,-5,54007257,0.005192560351775661
-205,66,-9,54008401,0.005388980570570236
-183,72,-15,54016653,0.005560172276003788
-178,72,-18,54017201,0.005578766067331734
-187,73,-6,54018296,0.005626132791733536
-195,70,6,54026161,0.005752927787989571
-196,58,0,54026696,0.005717366603816833
-195,58,-3,54027254,0.0056820151896559284
-192,58,-4,54027789,0.005634927280769835
-173,59,-8,54033913,0.004203275676774596
-170,54,-10,54034449,0.004057436710278746
-180,56,4,54040124,0.0025842784788943584
-177,70,-7,54041754,0.0025604584822206925
-194,77,0,54049641,0.0036030947287874144
-193,74,-4,54050199,0.003662618092608391
-190,71,-7,54050734,0.0036932222982883666
-186,70,-3,54051358,0.0037027358865408793
-197,80,-7,54056924,0.004920839046861185
-194,74,0,54057461,0.00497539198391161
-199,69,-19,54066634,0.0063201637808461076
-205,67,-19,54067262,0.0064467269296179155
-198,67,-10,54068358,0.006547341772409719
-188,57,-9,54076629,0.005851731935726901
-184,67,0,54078271,0.005703961478043309
-194,71,3,54086181,0.005720379256211631
-196,69,1,54086716,0.005733667940244117
-190,69,-1,54087273,0.005728533854092739
-186,62,-5,54087808,0.005681595162057214
-199,69,10,54093459,0.005773093407400284
-186,60,-4,54101217,0.0048111904756774505
-195,58,2,54101752,0.004770222771550129
-195,68,-1,54102845,0.004814268418085785
-184,79,2,54120603,0.006535693195750608
-187,81,9,54121161,0.006647490821658633
-186,79,12,54121696,0.006740940831404302
-187,80,7,54122254,0.0068473591758473305
-191,87,-11,54136078,0.010946447511628217
-190,84,-9,54136613,0.011083025618512725
-195,81,-3,54137159,0.011200079430297716
-196,76,-3,54137694,0.011275777528523925
-185,66,-1,54151590,0.01084792861518896
-186,68,2,54152144,0.01085114934369796
-185,71,2,54152679,0.01087877965033209
-195,70,4,54160542,0.011269985475652151
-192,74,-1,54169638,0.012248075810718516
-192,75,1,54170194,0.012318543582875728
-192,73,1,54170729,0.012370307598714254
-192,75,-5,54171354,0.01244298171866243
-191,57,2,54176919,0.01165677617475255
-193,56,0,54177455,0.01157395973687486
-188,55,-1,54186635,0.009947564985121069
-180,60,-7,54187260,0.009864330014745838
-187,67,0,54188353,0.009871294274779367
-187,69,2,54196644,0.01027011725767654
-186,66,-3,54197201,0.01026126503583118
-187,72,-14,54198287,0.010282345490147294
-194,69,-7,54205177,0.010378296999487719
-193,67,2,54205712,0.01039056951397422
-202,68,6,54206795,0.010461593505407745
-189,54,0,54223827,0.007711940513516178
-195,49,9,54224363,0.007646702779767791
-202,53,17,54225446,0.007668032913132148
-181,63,-8,54233588,0.006942148757793645
-179,67,-8,54234144,0.006928752883027323
-187,69,-4,54234679,0.006943037215597336
-199,76,-8,54243662,0.0076632645109981565
-194,77,-5,54244221,0.00773502959992062
-186,77,-2,54244756,0.007810616231477827
-182,78,4,54245306,0.007917033217706522
-186,78,9,54250922,0.009252068591920482
-194,79,10,54251459,0.009393922876254719
-196,74,-10,54260639,0.009876626834988784
-197,74,-13,54261219,0.009903730433202541
-199,72,-8,54261819,0.009936080952611476
-200,71,-2,54262377,0.00998008514383618
-192,78,-4,54266910,0.010672221671694612
-195,73,-8,54267446,0.01070745370532688
-189,72,-6,54276634,0.01120608962062491
-193,77,-7,54277268,0.011287350005444239
-203,80,-13,54278348,0.011459106001363628
-205,67,-3,54286643,0.011801614756633955
-195,67,0,54287198,0.01181978605655763
-187,80,-1,54288284,0.012013124208599573
-189,63,-3,54296627,0.011507963644647666
-189,66,2,54297177,0.011512106180522523
-195,70,7,54297711,0.011572056068996327
-195,71,7,54298270,0.011643105268172372
-191,69,-8,54303900,0.01167136892141476
